index,Year,S1,S2,S3,S4,Average_bleaching,ClimSST,Temperature_Kelvin,Temperature_Mean,Temperature_Minimum,Temperature_Maximum,Temperature_Kelvin_Standard_Deviation,Windspeed,SSTA,SSTA_Standard_Deviation,SSTA_Mean,SSTA_Minimum,SSTA_Maximum,SSTA_Frequency,SSTA_Frequency_Standard_Deviation,SSTA_FrequencyMax,SSTA_FrequencyMean,SSTA_DHW,SSTA_DHW_Standard_Deviation,SSTA_DHWMax,SSTA_DHWMean,TSA,TSA_Standard_Deviation,TSA_Minimum,TSA_Maximum,TSA_Mean,TSA_Frequency,TSA_Frequency_Standard_Deviation,TSA_FrequencyMax,TSA_FrequencyMean,TSA_DHW,TSA_DHW_Standard_Deviation,TSA_DHWMax,TSA_DHWMean,rate_of_SST_change,reef_longitude,reef_latitude,Month,eta,salt,temp,wspeed_u,wspeed_v,mean_wspeed,u,v,mean_cur
8531,2015.0,10.0,10.0,2.0,2.0,6.0,295.89,293.85,296.8,291.54,302.69,2.18,7.0,-0.42,0.8,0.0,-3.39,3.02,13.0,4.48,22.0,4.0,2.44,2.34,12.620000000000001,1.6,-5.83,2.18,-8.13,3.0,-2.87,3.0,1.38,5.0,0.0,0.0,1.05,7.27,0.33,0.041287878,153.5261111,-27.41430556,9.0,-0.21833006096153845,35.559512480769236,22.185424826923075,-0.2542643176961538,2.213226094230769,6.904418101923077,0.026894023472115385,-0.2746488416730769,0.4201192141346154
8532,2015.0,1.0,2.0,5.0,5.0,3.25,298.9,298.24,299.58,294.69,306.54,2.11,4.0,0.95,0.87,0.0,-2.88,4.98,5.0,5.78,30.0,6.0,0.0,3.39,19.78,2.19,-4.02,2.11,-7.57,4.26,-2.68,2.0,1.52,8.0,1.0,0.0,1.37,10.85,0.53,0.018762626,145.8330556,-16.25,8.0,0.015004532293050848,35.34273659322034,24.620163847457626,-4.035694820338983,4.153191798305085,6.170029277966102,-0.02828425961016949,-0.10175990321881356,0.20602817950847457
8533,2015.0,0.0,0.0,0.0,0.0,0.0,296.08,297.86,296.01,291.39,301.63,2.18,7.0,1.88,2.18,0.0,-4.71,5.54,23.0,3.63,27.0,19.0,5.51,12.31,44.35,10.61,1.75,2.18,-4.71,5.51,-0.09,23.0,3.44,24.0,18.0,5.08,12.02,43.76,10.09,0.041287878,153.4208333,-27.93972222,12.0,-0.2495553071875,35.50066875,25.37986046875,-1.791631405,2.007500153125,6.934962790625,0.029557266644375,-0.184493368471875,0.38312133875
8534,2015.0,0.0,0.0,0.0,0.0,0.0,296.08,297.86,296.01,291.39,301.63,2.18,7.0,1.88,2.18,0.0,-4.71,5.54,23.0,3.63,27.0,19.0,5.51,12.31,44.35,10.61,1.75,2.18,-4.71,5.51,-0.09,23.0,3.44,24.0,18.0,5.08,12.02,43.76,10.09,0.041287878,153.4208333,-27.93972222,12.0,-0.2495553071875,35.50066875,25.37986046875,-1.791631405,2.007500153125,6.934962790625,0.029557266644375,-0.184493368471875,0.38312133875
8535,2014.0,5.0,0.0,0.0,0.0,1.25,299.13,298.14,296.92,292.01,303.07,2.13,8.0,0.84,0.76,0.0,-3.04,3.32,5.0,3.8899999999999997,20.0,4.0,2.63,2.12,10.91,1.41,-1.61,2.13,-7.7299999999999995,3.31,-2.82,0.0,1.41,6.0,1.0,0.0,1.08,7.990000000000001,0.33,0.041287878,153.5511111,-27.39055556,11.0,-0.1629571052352941,35.60857542647059,24.646607985294118,-2.1384914088235294,-3.4835524426470585,6.7222539617647055,0.037564487322941174,-0.4931488274514706,0.5873647243529412
8536,2015.0,50.0,0.0,0.0,0.0,12.5,296.01,293.85,296.92,292.01,303.07,2.13,7.0,-0.59,0.76,0.0,-3.04,3.32,10.0,3.8899999999999997,20.0,4.0,1.24,2.12,10.91,1.41,-5.9,2.13,-7.7299999999999995,3.31,-2.82,2.0,1.41,6.0,1.0,0.0,1.08,7.990000000000001,0.33,0.041287878,153.5511111,-27.39055556,9.0,-0.2018325491470588,35.55254747058824,22.27807379411765,-0.31199822997352944,2.1947787073529414,6.971215163235294,0.009912989216911763,-0.2847344647058824,0.42745626948529414
8537,2016.0,5.0,5.0,5.0,5.0,5.0,298.11,299.71,296.92,292.01,303.07,2.13,7.0,0.13,0.76,0.0,-3.04,3.32,10.0,3.8899999999999997,20.0,4.0,2.22,2.12,10.91,1.41,-0.04,2.13,-7.7299999999999995,3.31,-2.82,1.0,1.41,6.0,1.0,1.25,1.08,7.990000000000001,0.33,0.041287878,153.5511111,-27.39055556,3.0,-0.1932182269117647,35.393256132352946,26.919030014705882,-3.866223536764706,2.4803512647058823,5.876712395588235,-0.06540637180661765,-0.05615577216029412,0.25439234508823527
8538,2014.0,15.0,10.0,5.0,5.0,8.75,296.74,295.44,296.41,291.25,302.35,2.34,6.0,0.69,0.74,0.0,-2.87,2.82,6.0,4.02,19.0,4.0,0.0,2.26,12.9,1.39,-4.11,2.34,-8.3,2.79,-3.13,0.0,1.06,4.0,0.0,0.0,0.85,5.67,0.26,0.038888888,153.1127778,-26.615,10.0,-0.30758606323529414,35.64592291176471,23.0167085,-1.9204030558823528,-1.163467738235294,6.2007680441176465,0.003821932896529411,-0.11067133845294118,0.25119109411764706
8539,2015.0,1.0,0.0,1.0,1.0,0.75,298.83,297.83,296.41,291.25,302.35,2.34,7.0,0.85,0.74,0.0,-2.87,2.82,6.0,4.02,19.0,4.0,4.47,2.26,12.9,1.39,-1.72,2.34,-8.3,2.79,-3.13,0.0,1.06,4.0,0.0,0.0,0.85,5.67,0.26,0.038888888,153.1127778,-26.615,11.0,-0.22360694,35.604089676470586,24.264703558823527,-1.492881544117647,-2.437764855882353,6.383954670588235,0.03848884274147059,-0.11844689405882353,0.2582258933823529
8540,2016.0,10.0,10.0,5.0,2.0,6.75,298.02,300.1,296.8,291.54,302.69,2.18,7.0,0.6,0.8,0.0,-3.39,3.02,13.0,4.48,22.0,4.0,3.54,2.34,12.620000000000001,1.6,0.42,2.18,-8.13,3.0,-2.87,2.0,1.38,5.0,0.0,2.56,1.05,7.27,0.33,0.041287878,153.5261111,-27.41430556,3.0,-0.19524116519230766,35.38598176923077,26.934841807692308,-3.7608934826923077,2.5038874538461537,5.857107632692308,-0.050657276227884615,-0.04951438588269231,0.2439801355
